Fecha,Delegacion,Clave INEGI AGEE,Codigo Penal Federal (CPF)_Delitos contra la salud_ Produccion,Codigo Penal Federal (CPF)_Delitos contra la salud_Transporte,Codigo Penal Federal (CPF)_Delitos contra la salud_Tr fico,Codigo Penal Federal (CPF)_Delitos contra la salud_Comercio,Codigo Penal Federal (CPF)_Delitos contra la salud_Suministro,Codigo Penal Federal (CPF)_Delitos contra la salud_Posesion,Codigo Penal Federal (CPF)_Delitos contra la salud_Otros,Codigo Penal Federal (CPF)_Cometidos por Servidores Publicos,Codigo Penal Federal (CPF)_Contra el Ambiente y la Gestion Ambiental,Codigo Penal Federal (CPF)_Contra la integridad corporal,Codigo Penal Federal (CPF)_Electorales,Codigo Penal Federal (CPF)_En Materia de Derechos de Autor,"Codigo Penal Federal (CPF)_Falsedad, T¡tulo D‚cimo Tercero",Codigo Penal Federal (CPF)_Patrimoniales,Codigo Penal Federal (CPF)_V¡as de Comunicacion y Correspondencia,Codigo Penal Federal (CPF)_Otros Delitos del CPF,Codigo Fiscal de la Federacion (CFF),Ley de la Propiedad Industrial (LPI),Ley de V¡as Generales de Comunicacion (LVGC),Ley Federal del Derecho de Autor (LFDA),Ley Federal de Armas de Fuego y Explosivos (LFAFE),Ley de Migracion (LM),Ley General de Salud (LGS)_Contra la salud en su modalidad de Narcomenudeo,Ley General de Salud (LGS)_Otros delitos previstos en la LGS,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Contra la salud,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Otros delitos previstos en la LFCDO,"Leyes de Instituciones de Cr‚dito, Inversion, Fianzas y Seguros",Otras Leyes Especiales
2012-07,TABASCO,27,3,0,0,7,0,2,1,6,2,0,8,0,2,17,0,25,3,0,0,0,11,2,13,4,0,1,1,3
2012-07,TAMAULIPAS,28,0,0,0,0,0,98,2,10,3,2,6,0,7,71,2,53,25,0,0,0,157,5,0,0,0,8,1,7
2012-07,TLAXCALA,29,0,0,0,1,0,3,0,0,1,0,28,1,5,12,2,6,6,0,15,1,7,0,41,2,0,1,0,12
2012-07,VERACRUZ,30,0,0,0,1,0,4,1,13,3,0,24,1,9,113,9,61,48,1,7,0,62,0,21,11,0,20,2,20
2012-07,YUCATAN,31,0,1,0,0,0,1,5,2,5,0,13,3,5,14,0,6,2,0,2,0,1,0,9,0,0,0,0,2
2012-07,ZACATECAS,32,0,3,1,1,1,5,8,0,0,1,10,0,1,12,1,5,9,0,1,0,8,0,1,1,0,2,0,1
2012-07,EXTRANJERO,33,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2012-08,AGUASCALIENTES,1,0,0,0,6,0,12,4,1,4,0,0,0,7,2,0,0,10,0,0,0,9,0,14,0,0,3,2,0
2012-08,BAJA CALIFORNIA,2,1,3,0,7,0,530,2,17,7,0,1,31,38,86,0,38,74,0,0,1,102,10,61,2,0,4,13,17
2012-08,BAJA CALIFORNIA SUR,3,0,1,0,0,0,13,0,4,4,0,0,1,3,9,0,5,8,1,0,0,8,0,62,1,0,0,0,4
2012-08,CAMPECHE,4,0,0,0,0,0,0,1,2,1,0,2,0,1,13,0,8,1,0,0,0,8,0,0,1,0,0,0,0
2012-08,COAHUILA,5,0,0,0,15,0,8,6,0,0,1,7,1,5,47,1,40,11,1,1,0,36,0,24,7,0,12,2,4
2012-08,COLIMA,6,5,0,0,0,0,5,1,0,5,0,0,0,2,8,1,8,6,1,3,1,26,0,1,0,0,1,0,3
2012-08,CHIAPAS,7,1,8,0,7,0,2,11,7,4,0,3,0,11,19,1,17,35,0,0,0,26,5,19,23,0,2,1,5
2012-08,CHIHUAHUA,8,1,2,0,5,0,29,2,17,2,0,2,0,15,57,0,48,27,3,0,0,64,2,109,10,0,4,0,9
2012-08,DISTRITO FEDERAL,9,2,0,0,10,2,196,203,100,2,8,11,28,186,373,5,136,56,58,0,26,97,0,6,6,0,14,293,71
2012-08,DURANGO,10,0,1,0,1,0,17,0,8,0,2,8,0,2,18,1,17,4,0,2,1,37,1,10,0,1,0,0,4
2012-08,GUANAJUATO,11,0,1,0,2,1,105,5,2,1,0,10,0,8,33,1,17,104,7,7,2,72,1,362,11,0,6,14,8
2012-08,GUERRERO,12,0,0,0,3,0,31,1,3,11,0,6,0,3,14,5,19,5,11,0,0,63,0,0,0,0,24,3,2
2012-08,HIDALGO,13,0,0,0,2,0,2,2,1,6,0,14,11,7,53,4,21,21,1,5,7,33,0,0,1,1,2,1,2
2012-08,JALISCO,14,2,2,0,17,2,128,40,5,12,1,19,5,29,87,1,43,60,13,6,5,126,0,434,106,0,9,35,11
2012-08,MXICO,15,1,2,0,2,0,3,7,6,15,1,310,5,7,109,4,51,13,12,5,0,65,1,27,39,3,18,5,6
2012-08,MICHOACAN,16,12,0,3,2,0,23,10,26,6,4,8,0,2,29,6,22,16,1,1,0,81,0,15,1,1,9,0,8
